tenant_id,activity_id,name,emotion,description,cant_person,duracion,min_person,tipo,calificacion
UTEC,A0044,"Noches de Juegos: Noches de juegos, fiestas temáticas y eventos culturales",felicidad|enojo|frustracion|tristeza|aburrimiento|estres,"Descripción detallada de Noches de Juegos: Noches de juegos, fiestas temáticas y eventos culturales",6,70,3,Taller,0
UTEC,A0045,Melodías en Desarrollo: Talleres de desarrollo de habilidades musicales,felicidad|motivacion|aburrimiento,Descripción detallada de Melodías en Desarrollo: Talleres de desarrollo de habilidades musicales,8,80,4,Grupo de apoyo,0
UTEC,A0046,Cine Universitario: Noches de Películas en el Auditorio,felicidad|aburrimiento,Descripción detallada de Cine Universitario: Noches de Películas en el Auditorio,18,90,9,Grupo de apoyo,0
UTEC,A0047,Expresión Artística: Exposiciones de arte y galerías,felicidad|motivacion|aburrimiento,Descripción detallada de Expresión Artística: Exposiciones de arte y galerías,8,70,4,Grupo de apoyo,0
UTEC,A0048,Foco en el Escenario: Representaciones teatrales y funciones de danza,felicidad|motivacion,Descripción detallada de Foco en el Escenario: Representaciones teatrales y funciones de danza,8,60,4,Grupo de apoyo,0
UTEC,A0049,Alegría Deportiva: Participación en equipos y ligas deportivas,felicidad|motivacion|aburrimiento|alivio|tristeza,Descripción detallada de Alegría Deportiva: Participación en equipos y ligas deportivas,19,90,9,Grupo de apoyo,0
UTEC,A0050,Fusión Fitness: Participación en clases de fitness o deportes grupales,felicidad|motivacion|aburrimiento,Descripción detallada de Fusión Fitness: Participación en clases de fitness o deportes grupales,12,90,6,Grupo de apoyo,0
UTEC,A0051,Encuentro Internacional: Conoce a Estudiantes de Intercambio,aburrimiento|motivacion|felicidad,Descripción detallada de Encuentro Internacional: Conoce a Estudiantes de Intercambio,5,30,2,Grupo de apoyo,0
UTEC,A0052,Excursión en el campo: Participación en excursiones o viajes de campo,felicidad|aburrimiento|motivacion,Descripción detallada de Excursión en el campo: Participación en excursiones o viajes de campo,6,80,3,Grupo de apoyo,0
UTEC,A0053,Vibras de Karaoke: Noches de Karaoke con Amigos,felicidad|aburrimiento|motivacion,Descripción detallada de Vibras de Karaoke: Noches de Karaoke con Amigos,14,60,7,Grupo de apoyo,0
UTEC,A0054,Celebración de Ceremonias: Participación en ceremonias de reconocimiento estudiantil,satisfaccion|motivacion|felicidad,Descripción detallada de Celebración de Ceremonias: Participación en ceremonias de reconocimiento estudiantil,14,60,7,Grupo de apoyo,0
UTEC,A0055,Búsqueda de Servicio Comunitario: Involucramiento en proyectos de servicio comunitario impactantes,satisfaccion|felicidad|motivacion|aburrimiento,Descripción detallada de Búsqueda de Servicio Comunitario: Involucramiento en proyectos de servicio comunitario impactantes,20,70,10,Grupo de apoyo,0
UTEC,A0056,Éxito Showtime: Organización de eventos para compartir logros y éxitos personales,satisfaccion|felicidad|motivacion,Descripción detallada de Éxito Showtime: Organización de eventos para compartir logros y éxitos personales,5,30,2,Grupo de apoyo,0
UTEC,A0057,Exhibición de Proyectos: Participación en exposiciones de proyectos y trabajos personales,satisfaccion|felicidad|motivacion,Descripción detallada de Exhibición de Proyectos: Participación en exposiciones de proyectos y trabajos personales,20,70,10,Grupo de apoyo,0
UTEC,A0058,Unidad de Voluntariado Comunitario: Unión a programas de voluntariado en la comunidad,satisfaccion|motivacion|felicidad,Descripción detallada de Unidad de Voluntariado Comunitario: Unión a programas de voluntariado en la comunidad,15,100,7,Grupo de apoyo,0
UTEC,A0059,Crecimiento Personal y Profesional: Asistencia a eventos de desarrollo personal y profesional,satisfaccion|motivacion|felicidad,Descripción detallada de Crecimiento Personal y Profesional: Asistencia a eventos de desarrollo personal y profesional,9,50,4,Grupo de apoyo,0
UTEC,A0060,Yoga Sessions: Participación en sesiones de yoga restaurativo y relajación,alivio|estres|ansiedad,Descripción detallada de Yoga Sessions: Participación en sesiones de yoga restaurativo y relajación,12,100,6,Taller,0
UTEC,A0061,Picnic en el Campus: Disfrute de picnics relajantes en el campus,alivio|estres|ansiedad|enojo,Descripción detallada de Picnic en el Campus: Disfrute de picnics relajantes en el campus,8,30,4,Taller,0
UTEC,A0062,Talleres de Alivio del Estrés: Asistencia a talleres de respiración y alivio del estrés,alivio|enojo|estres|ansiedad,Descripción detallada de Talleres de Alivio del Estrés: Asistencia a talleres de respiración y alivio del estrés,19,40,9,Taller,0
UTEC,A0063,Deporte en Acción: Juegos en el Estadio Chipoco,aburrimiento|ansiedad|estres|enojo,Descripción detallada de Deporte en Acción: Juegos en el Estadio Chipoco,16,70,8,Taller,0
UTEC,A0064,Estrategias Maestras: Torneos de Ajedrez Universitario,aburrimiento|ansiedad|estres|enojo,Descripción detallada de Estrategias Maestras: Torneos de Ajedrez Universitario,7,80,3,Taller,0
UTEC,A0065,Juegos de Mesa y Café: Tarde de Estrategia y Diversión,aburrimiento|ansiedad|estres|enojo,Descripción detallada de Juegos de Mesa y Café: Tarde de Estrategia y Diversión,25,50,18,Taller,0
UTEC,A0066,Feria Gastronómica: Descubre Sabores de Todo el Mundo,aburrimiento|ansiedad|estres|enojo|felicidad,Descripción detallada de Feria Gastronómica: Descubre Sabores de Todo el Mundo,20,80,15,Taller,0
